grantee,routine_schema,routine_name,privilege_type
anon,public,gbt_date_consistent,EXECUTE
authenticated,public,gbt_date_consistent,EXECUTE
postgres,public,gbt_date_consistent,EXECUTE
service_role,public,gbt_date_consistent,EXECUTE
PUBLIC,public,gbt_date_distance,EXECUTE
anon,public,gbt_date_distance,EXECUTE
authenticated,public,gbt_date_distance,EXECUTE
postgres,public,gbt_date_distance,EXECUTE
service_role,public,gbt_date_distance,EXECUTE
PUBLIC,public,gbt_date_fetch,EXECUTE
anon,public,gbt_date_fetch,EXECUTE
authenticated,public,gbt_date_fetch,EXECUTE
postgres,public,gbt_date_fetch,EXECUTE
service_role,public,gbt_date_fetch,EXECUTE
PUBLIC,public,gbt_date_penalty,EXECUTE
anon,public,gbt_date_penalty,EXECUTE
authenticated,public,gbt_date_penalty,EXECUTE
postgres,public,gbt_date_penalty,EXECUTE
service_role,public,gbt_date_penalty,EXECUTE
PUBLIC,public,gbt_date_picksplit,EXECUTE
anon,public,gbt_date_picksplit,EXECUTE
authenticated,public,gbt_date_picksplit,EXECUTE
postgres,public,gbt_date_picksplit,EXECUTE
service_role,public,gbt_date_picksplit,EXECUTE
PUBLIC,public,gbt_date_same,EXECUTE
anon,public,gbt_date_same,EXECUTE
authenticated,public,gbt_date_same,EXECUTE
postgres,public,gbt_date_same,EXECUTE
service_role,public,gbt_date_same,EXECUTE
PUBLIC,public,gbt_date_union,EXECUTE
anon,public,gbt_date_union,EXECUTE
authenticated,public,gbt_date_union,EXECUTE
postgres,public,gbt_date_union,EXECUTE
service_role,public,gbt_date_union,EXECUTE
PUBLIC,public,gbt_decompress,EXECUTE
anon,public,gbt_decompress,EXECUTE
authenticated,public,gbt_decompress,EXECUTE
postgres,public,gbt_decompress,EXECUTE
service_role,public,gbt_decompress,EXECUTE
PUBLIC,public,gbt_enum_compress,EXECUTE
anon,public,gbt_enum_compress,EXECUTE
authenticated,public,gbt_enum_compress,EXECUTE
postgres,public,gbt_enum_compress,EXECUTE
service_role,public,gbt_enum_compress,EXECUTE
PUBLIC,public,gbt_enum_consistent,EXECUTE
anon,public,gbt_enum_consistent,EXECUTE
authenticated,public,gbt_enum_consistent,EXECUTE
postgres,public,gbt_enum_consistent,EXECUTE
service_role,public,gbt_enum_consistent,EXECUTE
PUBLIC,public,gbt_enum_fetch,EXECUTE
anon,public,gbt_enum_fetch,EXECUTE
authenticated,public,gbt_enum_fetch,EXECUTE
